Date,Description,Amount,Category
2024-11-02,Expect test certainly star.,81.16, Groceries 
2025-02-17,Security ask expert.,81.16,rent
2024-08-27,Single require image.,81.16,misc
2024-11-04,New maybe clearly opportunity.,81.16, Utilities 
2024-11-11,Fast Democrat wish week skill.,81.16,misc
2025-05-26,Then drop property decide.,81.16, Medical 
2025-02-04,Congress series.,81.16,GROCERIES
2024-08-25,Change speech.,81.16,ENTERTAINMENT
2025-04-14,For appear.,81.16, Utilities 
2024-07-22,Despite cell base.,81.16,RENT
2024-10-28,Car front.,81.16,SHOPPING
2024-07-03,If soldier.,81.16,ENTERTAINMENT
2025-06-22,Machine hotel news with world.,81.16,
2024-08-12,Bar eye cost.,81.16,transport
2024-10-20,Past would why peace explain.,81.16, Food 
2025-02-04,Teach business buy.,81.16,TRANSPORT
2024-07-21,Education concern town bed trouble.,81.16, Medical 
2024-12-12,Space then.,81.16, Transport 
2024-11-12,According change.,81.16,transport
2025-02-24,Buy color computer finally two.,81.16,utilities
2024-10-19,Win nearly thank however edge.,81.16,food
2024-11-27,Green Republican specific front.,81.16, Dining 
2024-09-04,Allow election per bar.,81.16,ENTERTAINMENT
,You eat staff player.,81.16,UTILITIES
2024-10-22,Professional across pass.,81.16, Entertainment 
2024-12-09,Thing expect operation water.,81.16,
2025-05-06,Control dinner time.,81.16,transport
2025-04-18,Phone gun next.,81.16,RENT
2024-10-12,Team best again himself.,81.16,misc
2024-11-18,I manage nor history.,,medical
2024-12-01,Official down.,81.16, Dining 
2025-03-16,Hand that.,81.16, Rent 
2025-06-08,Ever moment.,81.16,medical
2024-11-16,Inside especially quickly technology.,81.16, Shopping 
2024-09-26,After describe program less community.,81.16, Dining 
2024-12-12,Security remain.,81.16,dining
2025-01-28,Point page rise probably.,81.16,groceries
2025-04-20,It something drug their.,81.16, Rent 
2025-01-01,Sell in worry.,81.16,groceries
2025-02-17,Believe kitchen according dinner.,81.16,DINING
2025-06-27,Meeting always camera.,81.16, Rent 
2025-02-15,North blue loss.,81.16,utilities
2024-09-05,Face wonder data.,81.16,medical
2024-09-09,Brother show rate.,81.16,
2025-06-03,Budget night candidate.,81.16, Shopping 
2024-09-15,Over check shoulder.,81.16,groceries
2024-11-29,Sort coach year.,81.16,RENT
2025-05-27,Table such administration.,81.16, Shopping 
2025-03-11,Rest score woman I.,81.16,dining
2025-04-25,Pretty happy light.,81.16,MISC
2024-09-24,Research success move ever.,81.16,UTILITIES
2024-08-08,Nature keep listen.,81.16, Utilities 
2024-12-25,Cause yes suffer health.,81.16,medical
2025-04-05,Available the.,81.16,SHOPPING
2024-09-03,Upon fast.,81.16, Dining 
2025-04-04,Stay film there.,81.16, Food 
2024-09-23,One official finish suddenly.,81.16,groceries
2025-05-14,Cost as box whom.,81.16, Groceries 
2024-07-28,Less edge ok wear response.,81.16,entertainment
2024-07-03,Beautiful president because trial.,81.16,SHOPPING
2025-03-18,Anyone hour woman similar whether.,81.16,entertainment
2025-03-14,Expert ok task.,81.16, Food 
2025-05-27,Sing account play claim.,81.16, Medical 
2024-08-22,Loss protect size prove maintain.,81.16,misc
2025-01-27,Decide eye pass which offer.,81.16,ENTERTAINMENT
2025-04-17,Level reveal machine together.,,ENTERTAINMENT
2024-11-02,Water statement anyone these.,81.16,dining
2024-09-12,Huge teacher.,81.16, Utilities 
2025-03-14,Game event.,81.16,shopping
2025-04-23,Record write.,81.16, Utilities 
2025-06-23,Plant though else open.,81.16,dining
2025-02-25,Their financial win group.,81.16, Food 
2024-07-24,All every.,81.16,MEDICAL
2024-10-03,During new debate police owner.,81.16,utilities
2024-07-21,Leg hair.,1119.4,RENT
2024-12-15,Up road free sort.,81.16, Food 
2025-05-25,Play wonder important.,81.16,TRANSPORT
2025-02-18,Test former develop bar.,81.16,misc
2025-06-06,Message entire south.,81.16, Misc 
2024-07-27,Still foot environment various nice.,81.16,dining
2025-02-10,During occur.,81.16,medical
,Eat business enough.,,ENTERTAINMENT
2024-11-28,Store interview child.,81.16, Dining 
2025-04-28,Service or think.,81.16,MISC
2024-07-31,Worry successful throw between.,81.16, Groceries 
2024-11-20,Sing science image simple.,81.16, Misc 
2025-02-28,Thus leave side.,81.16, Utilities 
2024-12-03,Arrive drive contain.,81.16,ENTERTAINMENT
2025-04-01,Guy least hotel economic.,81.16,MISC
2024-10-06,Political for fire them.,81.16,entertainment
2025-05-29,Money will.,81.16,TRANSPORT
2025-04-24,Her defense three.,81.16,shopping
2025-06-20,Final ball certainly happen.,81.16,MEDICAL
2025-05-08,Respond lot thousand down four.,81.16,misc
2025-05-24,Design sure shoulder star.,81.16, Rent 
2024-08-23,American would win.,81.16,food
2024-12-12,Church fact yard.,81.16, Shopping 
2024-08-23,Benefit their.,81.16,dining
2024-09-04,Deal finally.,81.16,misc
2024-10-24,Ability value certainly film represent.,81.16, Shopping 
2025-06-01,Such produce.,81.16,DINING
2025-06-28,Clear good she information.,81.16,medical
2024-07-16,Officer together.,81.16,dining
2024-12-15,Wind this because.,81.16,misc
2024-11-15,Property certain.,81.16,DINING
2025-06-23,Later save.,81.16,TRANSPORT
2025-04-29,Result send.,81.16,FOOD
2024-10-13,Back teach lawyer material.,81.16,
2024-09-01,Represent next.,81.16, Food 
2025-04-01,Never audience.,,medical
2024-10-06,Little half baby.,81.16,transport
2025-01-07,Cultural second national.,81.16,entertainment
2024-12-13,Decision major.,81.16,GROCERIES
2025-04-29,Stop whatever wish however Congress.,81.16,entertainment
2025-05-19,Newspaper evening wrong.,81.16,entertainment
2025-01-29,Sometimes short stock institution seek.,81.16, Dining 
2024-11-13,Talk would body.,81.16,transport
2025-02-08,Address buy together.,81.16, Medical 
2024-10-09,We effort speak.,81.16,ENTERTAINMENT
2024-09-26,Than political even social a.,81.16,shopping
,Half bed.,81.16,entertainment
2024-12-01,End draw television type.,81.16, Medical 
2024-11-29,Reach country because.,0.68, Transport 
2025-03-27,System whom light.,81.16, Utilities 
2025-03-10,Article investment.,81.16,
2024-11-14,Great participant.,81.16, Misc 
,Ago couple take often.,81.16,rent
2024-11-27,Director report to financial.,81.16,MEDICAL
2025-04-12,Important them wife gun send.,81.16,FOOD
2024-09-29,Technology with could traditional hour.,81.16, Food 
2025-01-19,Tend pay black manager area.,81.16,rent
2025-02-11,Religious just plant think.,81.16,transport
2024-11-05,Carry shoulder body region hard.,81.16,GROCERIES
2024-12-14,Attention well forward region rich.,81.16,rent
2025-01-01,Environment out scientist.,81.16,SHOPPING
2025-07-01,Draw create structure.,81.16, Food 
2025-03-12,Word present sign.,81.16, Utilities 
2025-04-20,Person read.,81.16,utilities
2025-02-18,Full study suddenly computer.,81.16, Entertainment 
2024-07-29,Practice unit.,81.16, Shopping 
2025-06-27,Building wrong trouble.,81.16,TRANSPORT
2025-03-18,Small be cold have defense.,81.16,DINING
2024-08-20,Without reason cut teacher use.,81.16, Utilities 
2025-05-11,Leader job agency sense.,81.16,food
2025-05-22,Serve against hundred total.,81.16, Rent 
2025-03-26,Simple six late make.,81.16, Transport 
2025-06-26,Audience group pretty.,,MISC
2025-02-10,Cut pressure.,81.16, Food 
2025-01-08,Front safe same suddenly.,81.16, Misc 
2025-02-16,Picture may doctor new.,81.16, Shopping 
2024-11-26,Pressure forward traditional.,81.16,shopping
2024-10-27,Cold character one.,81.16,dining
2025-01-28,Vote herself cultural chair.,81.16,misc
2024-08-28,Ok feeling hope.,81.16,MEDICAL
2025-01-26,Need nice meeting.,81.16,RENT
2024-10-22,Task follow.,81.16,DINING
2024-08-13,However suddenly interview paper.,, Misc 
2025-02-14,Catch shoulder any politics same.,81.16, Medical 
2025-02-08,Surface ready oil.,81.16,food
2025-06-26,Color must though.,81.16,groceries
2024-12-14,Always crime scene.,81.16,rent
2024-07-10,You can movie change.,81.16,food
2024-12-21,How personal authority.,81.16,FOOD
2024-07-20,Card help air such.,81.16,MEDICAL
2024-12-09,Event before clear.,81.16,misc
2025-02-22,Human herself top.,81.16, Rent 
2025-02-19,His first weight.,81.16, Dining 
2024-11-23,Professor exist energy occur like.,81.16, Transport 
2025-02-27,Remain difficult.,81.16,shopping
2025-03-24,Commercial their.,81.16,MEDICAL
2024-12-14,Full option trial car common.,81.16,shopping
2024-10-26,Opportunity create myself entire.,81.16, Misc 
2024-09-29,Research personal body reason.,81.16, Rent 
2025-01-18,Practice be song so.,81.16,GROCERIES
,Mention no upon have her.,81.16, Shopping 
2025-02-11,Myself stay tree analysis second.,81.16,MEDICAL
2025-02-07,Black think art head.,81.16, Shopping 
2024-09-06,Memory wall point include walk.,81.16,FOOD
2025-06-06,Shoulder trade wait.,81.16,transport
2025-01-02,Exactly open.,81.16, Groceries 
2025-01-19,Seven late knowledge.,81.16,food
2025-02-21,Situation child food.,81.16, Groceries 
2025-06-16,Total TV development wear sound.,81.16,utilities
2025-02-12,Address choose interview send.,81.16,DINING
2024-11-05,Want continue election.,81.16, Groceries 
2024-08-22,Scientist ever especially few mother.,81.16,SHOPPING
2024-09-25,Answer first.,81.16,rent
2025-03-23,Later rule continue customer team.,,UTILITIES
2025-05-13,Discover drug.,1071.56,MEDICAL
2025-03-05,Kid attention option imagine.,81.16, Utilities 
2025-05-02,We adult animal.,81.16,utilities
2025-01-05,Brother control.,81.16, Food 
2024-12-02,Night watch exist.,81.16,shopping
2025-03-19,Mean behind.,81.16, Dining 
2024-07-09,Throw program.,81.16,
2024-12-13,Serve water become both.,81.16,FOOD
2025-04-22,Man area nothing big born.,81.16, Entertainment 
2024-07-25,Perhaps single important.,81.16,TRANSPORT
2024-10-16,Wear benefit some.,81.16, Misc 
2025-06-16,Him already air like laugh.,81.16,GROCERIES
2024-08-03,Possible billion anyone subject.,81.16, Transport 
2025-03-23,Bill research enjoy argue ever.,81.16, Misc 
2024-07-11,Support mouth.,81.16,rent
2024-07-21,According consumer trial police present.,81.16,transport
2024-08-29,Material political animal.,81.16,
2024-10-13,Hear or fly set fill.,81.16,medical
2024-07-19,Only send prepare table.,81.16, Utilities 
2024-11-13,Hot reflect special near.,81.16, Shopping 
2025-03-09,Write available life design.,0.51, Transport 
2024-11-24,Continue own style quality.,0.98, Groceries 
2025-05-16,Party word end today.,81.16, Food 
2025-04-08,Practice off anything.,81.16, Transport 
2024-09-20,Table food.,81.16,ENTERTAINMENT
2025-02-02,Where difficult for.,81.16, Transport 
2024-09-25,Friend arm low.,81.16,GROCERIES
2025-04-28,Receive that specific we throw.,81.16,
2024-12-14,He be single.,81.16,SHOPPING
2024-12-22,Paper special air half ask.,,MEDICAL
2025-06-06,Toward shake natural.,81.16,utilities
2025-06-21,Final full.,81.16,medical
2025-01-15,Boy still.,81.16, Dining 
2024-12-05,Trial heavy.,81.16,SHOPPING
2024-08-11,Peace energy visit picture class.,81.16,TRANSPORT
2025-02-20,Along kind.,81.16, Shopping 
2025-05-11,Happen loss exist will miss.,81.16,RENT
2024-07-29,Certainly ball.,81.16,TRANSPORT
2025-06-22,Recognize deal least whole.,81.16, Entertainment 
2024-12-13,Alone tough set father.,,rent
2025-04-07,Begin hot.,81.16, Groceries 
2025-02-25,Performance note name add next.,81.16,MEDICAL
2025-02-04,Control watch speak but.,1190.68,food
2024-07-07,Discuss figure strategy play time.,81.16,entertainment
2025-06-23,Mind vote significant smile.,81.16,ENTERTAINMENT
2024-07-07,Water wear tend condition.,81.16,TRANSPORT
2025-02-21,Open skill deal.,81.16, Groceries 
2024-07-31,Itself central per.,81.16,MEDICAL
2025-05-09,Thus itself condition.,81.16,rent
2025-03-21,East since.,,MEDICAL
2025-01-20,Spend bit technology.,81.16,MISC
2024-11-07,Whom road.,81.16,rent
2024-09-17,Knowledge well skin.,81.16,FOOD
2024-10-19,Career character.,81.16,ENTERTAINMENT
2025-02-05,Kind room.,81.16,TRANSPORT
2025-03-26,Laugh hair audience best.,81.16, Food 
2024-08-26,Together own.,81.16,TRANSPORT
2024-07-02,Economic assume.,81.16, Groceries 
2024-12-08,Green toward watch those seek.,81.16,shopping
2024-08-22,Site fear race.,81.16, Rent 
2025-02-02,Security back foot community.,81.16,DINING
2024-08-25,Yourself plan.,81.16,rent
2025-03-28,Available interview research fine.,81.16,SHOPPING
2024-11-27,Manager group down minute.,81.16,shopping
2025-05-08,Describe hit.,81.16,rent
2024-09-06,Money doctor.,81.16, Rent 
2025-01-06,Nothing build than.,81.16,transport
2024-08-26,Consider bit president.,81.16,rent
2024-07-29,Debate agent friend.,81.16,rent
2024-10-01,Future them pattern day.,81.16, Dining 
2024-07-19,Trial provide heart wrong there.,81.16,utilities
2025-01-29,Firm feeling.,81.16,entertainment
2025-06-27,Indeed maintain.,81.16,transport
,Law physical but enjoy.,81.16,misc
2024-10-13,Hear or fly set fill.,81.16,medical
2025-04-15,Idea research follow break course.,81.16, Entertainment 
2024-11-08,Forward large perhaps.,81.16, Food 
2025-06-07,These across much risk toward.,81.16,GROCERIES
2025-04-27,Really house yes.,81.16,DINING
2025-07-02,Well heart produce suggest.,81.16,MEDICAL
2025-01-12,Easy ahead mouth piece.,81.16,UTILITIES
2024-12-12,Indicate wrong factor official.,0.93, Utilities 
2024-12-17,Will into first.,81.16,entertainment
2025-04-01,Environmental land change star.,81.16, Dining 
2024-12-13,Than power commercial final.,81.16,TRANSPORT
2025-05-15,Write might defense western list.,1484.6,dining
2025-05-23,Main beautiful.,,UTILITIES
2024-07-31,Place exactly region relate worry.,81.16, Medical 
2025-05-09,Hand continue walk.,81.16,TRANSPORT
2025-04-15,Mouth out.,81.16, Misc 
2025-06-12,Child age toward PM.,81.16,dining
2024-07-18,Good rest interest one.,81.16,TRANSPORT
2025-01-14,Water material race.,81.16,DINING
2024-10-01,Fill wife among walk.,81.16,TRANSPORT
2025-01-28,Require offer memory.,81.16,MISC
2024-11-02,You require process act.,81.16,groceries
2024-12-04,Together they situation.,81.16,dining
2025-06-13,West rule common spring.,,DINING
2025-06-12,Many street.,81.16, Misc 
2025-03-30,Enter research cell total.,81.16, Misc 
2024-08-10,Look laugh region.,81.16, Groceries 
2025-05-17,Far life themselves shoulder.,81.16, Food 
2025-06-24,You seem off attention tree.,81.16,GROCERIES
,Data language ten book attorney.,1151.06, Utilities 
2024-08-16,Spring threat assume tough.,81.16,RENT
2025-03-19,Particularly stop hair.,81.16, Medical 
2025-06-29,Campaign animal soldier.,81.16, Entertainment 
2025-01-27,Become improve since apply ball.,81.16,TRANSPORT
2025-04-05,Amount first learn tree method.,81.16, Groceries 
2025-05-09,Medical challenge line movie.,81.16, Medical 
2024-09-27,Although than hear actually.,81.16,SHOPPING
2025-05-11,Social way security almost.,81.16,medical
2024-08-11,Field material.,81.16, Misc 
2024-07-10,Reflect candidate.,81.16,
2025-04-16,Move plant brother.,81.16,UTILITIES
2024-10-31,Would whom.,81.16,MISC
2024-10-01,Way around.,81.16, Dining 
2024-08-07,Show suffer word.,81.16, Groceries 
2025-03-30,Entire never good.,81.16,DINING
2025-02-17,Individual situation relationship major table.,81.16, Entertainment 
2024-08-02,Always event Mrs serve month.,81.16,UTILITIES
2025-03-30,Least any.,81.16,MISC
2024-08-25,Discover camera measure remember bank.,81.16,MEDICAL
2024-10-22,Old approach religious respond tend.,, Food 
2025-06-30,Manage fine such surface spring.,81.16,shopping
2024-07-30,Lay great.,81.16, Rent 
2025-01-04,Remain argue population cost main.,81.16,SHOPPING
2025-01-24,Customer consider table blue impact.,81.16,medical
2025-03-31,Continue fast movement event.,81.16,DINING
2025-04-09,Statement music.,81.16, Dining 
2025-05-19,Leg strategy those.,81.16,food
2025-01-13,Training help.,81.16,groceries
2024-08-21,Him beat.,81.16, Transport 
2024-12-12,Family knowledge tough.,81.16,medical
2025-01-01,Movement main professional decide from.,81.16,groceries
2024-11-13,Without factor example usually.,81.16,dining
2025-01-10,May crime.,81.16, Medical 
2024-12-21,Many analysis approach realize.,81.16, Entertainment 
2025-01-19,Whom morning move building.,81.16,medical
2025-01-15,Have per anything.,81.16, Utilities 
2024-10-08,Community successful thank between daughter.,81.16,MEDICAL
2025-02-03,Physical everybody visit.,81.16,ENTERTAINMENT
2024-08-06,Green body model inside.,81.16, Utilities 
2024-08-30,Rich reach.,81.16,misc
2024-12-12,Price west.,81.16,transport
2024-08-04,Style check administration technology can.,81.16,MISC
2024-12-01,Guy rich sea.,81.16,dining
2024-10-13,Since authority character forget.,81.16, Shopping 
2024-09-14,Significant respond name.,81.16,MEDICAL
2025-02-03,Boy director Mr.,81.16,food
2024-12-05,That reflect religious.,1242.17,utilities
2024-08-28,Door school director son.,81.16, Transport 
2024-09-15,Condition magazine protect.,81.16, Groceries 
2025-06-29,Own take.,81.16,dining
2025-02-28,Information some season.,81.16,GROCERIES
2024-09-25,Field physical interest person.,81.16, Shopping 
2024-08-13,Several fact financial.,81.16, Medical 
2025-04-06,Choice sell yet.,81.16,TRANSPORT
,He PM pressure our.,81.16, Transport 
2024-10-02,Make discuss drop space prove.,81.16,food
2024-07-13,Factor film pick home.,81.16,transport
2025-05-06,More wear.,,shopping
2025-02-01,As hope throughout middle prepare.,81.16,shopping
2024-07-16,Daughter bank.,81.16,dining
2024-10-16,Or treat.,81.16, Groceries 
2024-10-23,Enjoy her information.,81.16,transport
2025-02-25,Act institution quite beyond.,81.16, Utilities 
2024-08-15,Blue reality week data.,1395.0,shopping
2025-03-17,Board ready me.,81.16,misc
2025-01-02,Work result.,81.16, Entertainment 
2024-09-19,Today along population sure why.,81.16,entertainment
2025-05-02,Look they player.,81.16, Rent 
2024-12-31,Citizen range parent.,81.16, Entertainment 
2025-01-30,Research trial husband cold.,81.16,MEDICAL
,Song consumer senior.,81.16, Transport 
2024-10-17,Operation by mother cause.,81.16,entertainment
2025-05-04,Husband economic whom act less.,81.16, Medical 
2025-06-16,Whatever local.,81.16,medical
2025-04-05,Certain risk finally truth.,,GROCERIES
2025-06-15,Conference citizen staff.,81.16, Medical 
2024-09-10,First form stop.,81.16,SHOPPING
2025-05-02,Event raise interest today.,81.16,GROCERIES
,While customer change Mrs apply.,81.16,entertainment
2025-05-21,Already hot same somebody eight.,81.16,DINING
2025-01-29,Question authority.,81.16, Rent 
2025-06-25,Both part party medical.,81.16,GROCERIES
2024-12-29,Change interesting.,81.16,entertainment
2024-12-22,Western end require customer.,81.16, Medical 
2025-02-24,Could seek.,81.16, Medical 
2025-01-25,Staff during.,81.16,food
2025-01-17,Understand put arm.,81.16, Utilities 
2025-01-28,Age pull small accept.,81.16,food
2024-08-28,Later citizen help.,81.16, Food 
2024-09-06,Program material later western.,81.16, Rent 
2025-01-06,Certain defense expert.,0.28, Groceries 
2025-01-28,Style pattern road after.,, Rent 
2025-05-27,Seek letter knowledge.,81.16, Transport 
2025-03-01,Budget animal.,81.16,utilities
2025-01-21,Reduce cold institution.,81.16,MISC
2025-06-27,Building wrong trouble.,81.16,TRANSPORT
2025-03-07,Throughout serious.,81.16,UTILITIES
2025-06-07,Mouth section nature.,81.16, Transport 
2025-03-18,Take understand early indeed.,81.16,GROCERIES
2024-09-02,Officer animal together then.,81.16,DINING
2025-03-20,Cost good such accept region.,81.16, Groceries 
2025-02-15,Fact reflect.,81.16,MISC
2025-04-27,Argue share kid positive.,81.16,SHOPPING
2024-11-14,Serious management.,81.16,rent
2024-07-02,Far measure purpose.,81.16, Groceries 
2025-06-23,Evidence no reduce house.,81.16,MEDICAL
2024-09-24,Best their maintain animal operation.,81.16,TRANSPORT
2025-04-10,Within what sister could.,81.16,RENT
2025-06-17,Hope behind dark.,81.16, Shopping 
2025-04-09,Resource huge sign wrong.,81.16,transport
2025-06-17,You mean give line worry.,81.16,MISC
2025-02-23,A front today various.,81.16,MEDICAL
2024-12-24,Respond level tax.,81.16,utilities
2025-01-17,Bed candidate today concern its.,81.16,utilities
2025-06-01,Billion cold.,81.16, Medical 
2024-12-08,Former yard school standard official.,81.16,RENT
2025-01-12,Soon most present.,81.16,RENT
2024-09-14,Even dream bed.,81.16,TRANSPORT
2024-09-10,Teacher nice guess public else.,,utilities
2025-05-11,Enough right clearly.,81.16,entertainment
,Lawyer machine.,81.16,food
2025-06-29,Organization travel yeah ten.,81.16,ENTERTAINMENT
2024-11-08,Person campaign test accept.,81.16, Transport 
2024-10-29,Well very.,81.16,rent
2024-11-27,Make like stock.,81.16, Rent 
2025-04-15,Report fast career.,,MISC
2024-09-28,Turn other.,81.16,entertainment
2025-02-13,Yard note marriage however.,81.16,rent
2025-07-01,Much agreement focus.,81.16,ENTERTAINMENT
2024-11-25,Fill figure.,81.16,FOOD
2025-03-11,Art with major class.,81.16, Rent 
2025-05-26,Music fund contain not bag.,81.16,TRANSPORT
2024-08-28,Create leader behavior section.,81.16, Entertainment 
2025-04-06,Media discussion would moment what.,81.16, Rent 
2025-03-18,Item financial.,81.16,transport
2024-11-16,Product the individual.,81.16,DINING
2024-09-19,Technology million final need cover.,81.16,medical
2024-10-26,Nation population real strategy.,81.16,entertainment
2024-11-17,Eye easy song.,81.16,medical
2024-12-23,Southern employee great theory truth.,81.16,MEDICAL
2024-11-10,Yes contain.,81.16,utilities
2025-03-31,Involve represent standard name really.,81.16,TRANSPORT
2025-03-03,High ask.,81.16, Misc 
2025-04-02,American sell clearly catch.,81.16, Groceries 
2024-10-28,Respond word.,81.16, Utilities 
2025-01-27,Reach huge mission black travel.,81.16,utilities
2024-10-15,Idea no her boy use.,81.16,groceries
2025-06-12,Plan certain.,81.16,SHOPPING
2024-10-05,Yeah method.,81.16,dining
2024-07-14,Concern news onto.,81.16, Utilities 
2025-01-13,Local leader fish social.,81.16,food
2025-04-30,Begin race.,81.16,MEDICAL
2025-06-03,Almost design protect.,81.16,
2024-10-04,Responsibility nothing page.,81.16,MISC
2025-04-29,Food pass provide.,81.16, Food 
2025-04-04,Series staff professor.,81.16,GROCERIES
2025-04-10,Toward deep main size.,81.16,RENT
2024-12-12,Space then.,81.16, Transport 
2025-01-04,Bill especially day.,81.16,shopping
2024-07-22,Most suggest.,81.16,shopping
2024-08-24,National bit.,81.16, Utilities 
2025-05-25,Force car keep.,81.16,FOOD
2025-05-30,Those away science stand.,81.16,MISC
2025-04-26,Energy often.,81.16,entertainment
2024-09-15,Page particularly.,81.16,rent
2025-03-15,Believe simple finish reason develop.,81.16, Dining 
2024-10-22,Law site.,81.16,FOOD
2024-11-25,Adult wear.,81.16, Food 
2024-11-22,Least her finally.,81.16, Rent 
2025-06-08,Ever moment.,81.16,medical
2025-03-24,How store stop central.,81.16,medical
2025-01-15,Local Congress condition about.,81.16,UTILITIES
,Cultural development society in.,81.16, Shopping 
2024-08-03,Forget least.,81.16,SHOPPING
2024-08-25,Your future.,81.16,misc
2024-11-13,Nation yard guy.,81.16,groceries
2024-12-06,Candidate either be ready.,81.16,TRANSPORT
2024-12-04,Likely before wife.,81.16,GROCERIES
2024-07-31,Know away remain vote.,81.16, Misc 
2025-05-14,Save believe large.,81.16,TRANSPORT
2024-11-17,Go and military agent.,81.16,groceries
2024-12-14,Indeed dark.,81.16, Medical 
2025-04-06,Entire test suddenly pass it.,81.16,groceries
2024-09-04,Deal finally.,81.16,misc
2024-11-19,Really first buy.,81.16,DINING
2024-07-28,Less edge ok wear response.,81.16,entertainment
2025-05-20,No nearly north control general.,81.16, Misc 
2025-04-12,South life simply where day.,81.16,shopping
2024-07-31,Effort against.,81.16,FOOD
2025-06-02,Police receive thousand floor.,81.16,transport
2025-06-28,Rest nice her.,81.16,medical
2025-05-07,Half manage then.,81.16,TRANSPORT
2024-09-10,Wide arm grow.,81.16,food
2025-03-21,Community however whom.,81.16,dining
2025-02-22,Deal mean late difficult.,81.16, Transport 
2024-10-13,Lead quickly shake claim.,, Groceries 
2025-03-26,Out staff international.,81.16,TRANSPORT
2025-05-31,Effort along build stop.,81.16,entertainment
2024-08-02,Either chance threat.,81.16, Medical 
2024-10-15,Particularly talk ok.,81.16,food
2024-10-03,Memory record product full field.,81.16, Entertainment 
2024-12-10,Ahead stock machine.,81.16,shopping
2024-12-13,Budget three financial blue production.,81.16,dining
2024-10-25,Spring buy if.,81.16, Food 
2024-07-23,Pm if reduce.,81.16,TRANSPORT
2025-04-05,Three state toward Republican.,81.16,groceries
2024-08-06,Choose nearly movie.,81.16,groceries
2024-10-13,Accept rest clear.,81.16,FOOD
2025-05-22,Material card.,81.16,misc
2025-05-25,Force car keep.,81.16,FOOD
2025-02-23,By nation.,81.16,misc
2024-08-30,Move require.,81.16,groceries
2025-02-01,Fact leave government expect tonight.,81.16,RENT
2025-03-19,Collection people few.,81.16, Misc 
2024-08-03,Recent explain.,81.16, Food 
2024-10-04,War art civil.,81.16, Medical 
2024-12-18,Look better shake nice.,81.16,misc
2024-12-05,Certain require.,81.16,groceries
2024-12-04,Evening process good scene.,81.16, Transport 
2025-01-23,Reality staff draw less.,81.16,ENTERTAINMENT
2024-08-20,Science hundred wish kitchen.,81.16,FOOD
2024-08-30,Husband be by question adult.,81.16,SHOPPING
2024-08-13,Listen you animal.,81.16, Medical 
2024-12-10,Population blood already.,81.16, Food 
2025-02-07,Wrong agent support defense.,81.16,GROCERIES
2025-03-15,Contain bed science.,81.16,UTILITIES
2024-10-18,Relationship ago seat majority professional.,81.16, Groceries 
2024-11-17,Voice yard improve ask.,81.16,shopping
2024-09-07,Week standard us.,81.16, Entertainment 
2025-01-01,Imagine mind why weight.,81.16,FOOD
2025-06-21,Nearly main team century one.,81.16,dining
2025-02-04,Buy audience growth.,81.16, Rent 
,Quite national heavy brother.,81.16, Utilities 
2024-11-03,As according land big offer.,81.16,transport
2024-08-06,Own culture nation.,81.16,GROCERIES
2024-11-25,Big wrong pick over.,81.16,misc
2025-01-07,Perhaps actually ahead.,81.16, Entertainment 
2024-08-10,Summer prove summer.,81.16,SHOPPING
2024-08-08,Type religious decade.,81.16,
2024-10-15,Change action sea firm process.,81.16,dining
2025-04-05,Single next now prove.,81.16, Food 
2024-10-28,Now simply training.,81.16, Shopping 
2025-06-15,Force military west account.,81.16,transport
2024-12-10,Series for list series shake.,81.16,dining
2025-05-16,Role him process still group.,81.16, Transport 
2024-08-11,Hand staff walk Republican.,81.16,TRANSPORT
2024-11-19,Machine think window teach.,81.16,entertainment
2024-11-03,Wind point history find.,81.16, Entertainment 
2025-05-01,Forward director soldier.,81.16,dining
2024-12-15,Back executive assume PM politics.,81.16,FOOD
2025-03-07,Out election expect.,81.16,UTILITIES
2024-08-25,Yeah state story while.,81.16,shopping
2025-06-15,Card generation thing use.,1443.72,shopping
2025-06-14,Player we mind.,81.16,FOOD
2024-10-31,Instead resource economy treatment.,81.16,TRANSPORT
2025-01-08,Several simple thought.,81.16, Entertainment 
2024-11-17,Return design institution whose interview.,1016.68, Dining 
2024-10-25,Scene level.,81.16, Dining 
2025-05-18,Capital building minute blue under.,81.16,
2025-06-26,Else same kind.,81.16, Entertainment 
2024-11-02,Require ability.,81.16,dining
2024-09-27,Service course marriage.,81.16, Entertainment 
2025-06-12,Himself answer.,81.16,DINING
2025-05-30,Thing bar reveal particular.,81.16,SHOPPING
2024-08-03,Tonight natural pass over necessary.,81.16,misc
2024-10-05,Team guess figure.,81.16, Dining 
2025-01-20,Choice six and seek.,81.16,misc
2024-10-16,Condition sing.,81.16, Dining 
2024-08-08,Term though his bring.,81.16,utilities
2024-11-03,Name thus different respond hotel.,81.16, Food 
2024-09-24,Describe soldier instead bit federal.,81.16,medical
2025-02-24,Speak benefit little ground.,81.16,shopping
2025-02-01,Policy tree himself fine.,81.16,UTILITIES
2024-07-16,Stand beyond hold.,81.16,
2025-03-18,Food doctor.,81.16, Medical 
2025-06-01,Matter medical arrive general suddenly.,81.16,misc
2024-09-27,Statement suggest everybody for.,81.16,dining
2025-03-07,Group think operation.,81.16,utilities
2025-02-19,Successful dinner gun court.,81.16, Groceries 
2024-07-27,What cut toward baby.,81.16,GROCERIES
